subjID,P0_Q1,P0_Q2,P0_Q3,P0_Q4,P0_Q5,strategies
s0,4,4,4,4,3,the path that yields the most points efficiently
s1,4,5,4,6,4,carefulness and being calculative
s2,4,2,4,5,3,most points
s3,4,3,5,4,3,Choosing the one with the most points and closest to chosen path
s4,5,6,3,5,4,I chose paths that might give the students the most points.
s5,3,7,6,5,1,trying to lead to the largest points (3)
s6,1,6,7,2,1,"Found the two biggest numbers, tried to connect them."
s7,6,7,5,6,2,what looked like the best path.
s8,7,3,6,7,1,tried to demonstrate the path that would maximize points!
s9,6,7,5,6,1,Tried to get the student as many points as possible
s10,6,5,6,6,2,Tried to get to the most points
s11,5,4,4,7,3,"I tried to trace which path would have the potential to be the best, even if I didn't fully know if it was possible."
s12,3,6,5,3,2,I mainly just tried to connect and show the highest point edges
s13,3,6,6,,1,The least change for the most point
s14,5,7,6,5,4,Viewing what points they had and what would guarantee an increase if I could see one.
s15,5,6,6,7,3,I chose a path that would get the highest number of points.
s16,6,7,5,6,1,"I tried to think of the choices as layers.  Meaning, first choice is the 2nd layer from top down, then 3rd layer, and the goal was to modify the path in the best way to maximize total points per layer."
s17,5,7,7,3,1,The power of my brain using logic.
s18,3,5,5,5,3,more points for the student
s19,7,7,7,2,1,maximum points
s20,5,3,4,5,2,"Mainly considering the first node, as that would allow the student easier access to more points"
s21,3,7,7,6,1,I choose the path with the highest points. 
s22,4,7,6,4,2,Determine which path results in the most points.
s23,2,7,6,2,2,"Try to select the path with the highest chance of most points, particularly the ones with +3."
s24,1,7,5,6,1,I added up and see what would allow me to get more points.
s25,6,7,7,5,1,I selected edges that led to a circle with a high number of points.
s26,7,7,3,7,6,I tried to get any gains as possible
s27,5,7,5,7,1,I tried to find the path that would give the most points.
s28,5,6,5,5,3,just tried to do the simple math to make them better
s29,6,5,3,7,3,whichever ones provided the most total points
s30,5,7,6,6,2,I wanted to maximize the points the student could earn by choosing the path that lead to the highest score.
s31,4,6,6,7,5,trying hit all the highest point values.
s32,6,6,5,6,4,I tried to choose an early path that had the most points.
s33,3,6,5,4,3,looked for the highest number
s34,3,7,6,5,1,Tried to choose the path that would lead to the most total points.
s35,4,7,7,4,1,I chose the path that would result in a higher earning for the student.
s36,4,6,6,4,4,"Try to direct the student in a path that will result in highest points, it was not always that you had to push them to +3 , but even if indirect path to +3 would be beneficial"
s37,3,6,6,2,1,I looked for one extra path that would result in an increase in points in total if taken.
s38,5,7,6,5,2,Trying to choose the best number to add points while still on their path
s39,7,7,5,6,3,I tried to focus on the highest node(s) and look at what path the student would need to take to get there and if it seemed possible for them to do so.
s40,4,6,7,3,1,Chose the path that increased the score for sure when possible. Otherwise the path that could increase or equal the score 
s41,5,3,3,5,5,It was difficult to understand if i needed to follow the dark black path or show them options seperately
s42,2,7,6,5,1,Taking the path with the most point available.
s43,3,7,5,4,3,Best chance of guaranteeing an improvement in points
s44,3,7,6,5,3,I looked for a path that had the most points along it and went that way.
s45,2,7,7,2,1,I was considering the +3 first and then quickly calculated the other possibilities to see if there was anything else that was more profitable
s46,3,7,6,3,2,I tried to choose the path that I thought the student would be able to complete.
s47,6,7,5,6,1,I tried to choose the path that guaranteed an increase the amount of points the learner would get. There could be other paths that may have given more potential points but I couldn't be completely sure the learner would have been able to see the whole path even if I made one more plank visible.
s48,4,3,6,2,2,3
s49,6,6,4,6,6,I tried to choose the path with the biggest points.
s50,5,5,5,5,4,I tried to pick the highest earning path
s51,2,4,6,4,1,give them the paths to more points early
s52,5,3,2,3,6,"For the three bar approach, I simply added up the numbers to see what was highest"
s53,5,2,4,5,6,the path that would give the greatest points
s54,4,7,6,7,1,I tried to navigate the student towards the +3 and show them that these paths are better.
s55,4,5,6,5,2,Maximize points and analyze previous choices
s56,5,7,5,6,1,Tried to make an apparent new move rather than a far away move
s57,1,7,7,2,2,start thinking at the area with highest points (3)
s58,6,7,6,5,2,"I chose the safest route to increase the point total to avoid teaching a new edge that didn't connect through to the end. I valued a safe increase over a riskier, if larger, increase."
s59,2,7,5,1,1,choosing paths that would give options for more point-giving paths
s60,3,7,6,5,3,"i tried to guess what paths are visible based on any obviously better options that the student chose not to take, and tried to give information they didnt seem to already have."
s61,4,3,6,6,5,i chose the most +3 if it resulted in the best path
s62,5,2,3,6,6,I was just trying to get the most points for the student
s63,6,7,4,6,1,Trying to maximize their score given what I thought they knew
s64,1,6,6,6,1,trying to get the biggest gains from the beginning 
s65,3,6,6,6,7,just trying to make them pick the best path 
s66,7,7,5,6,5,eliminated paths to lowest scores
s67,2,6,6,3,1,I tried to point them to the highest scoring route
s68,5,4,4,5,5,Chose a path with the most value connecting each to maximize chance of higher score
s69,3,6,5,3,1,just counted which path would yield the most points
s70,3,6,7,3,1,I just tried to maximize the number of points for all rounds
s71,2,6,6,3,1,"I tried to choose the soonest point in the path that led to the most points early on, in hopes they would continue on to gain more points on top of those. "
s72,6,5,5,6,4,finding the highest circle
s73,5,7,7,3,1,Tried to pick one that would help lead in the right direction.
s74,7,6,5,6,6,tried to guide the initial decision
s75,2,7,5,3,1,logic
s76,5,4,5,5,3,finding the most points with the path
s77,6,7,5,7,6,What seemed tp be the answer that would give the student the best chance at increasing points.
s78,5,4,6,6,5,"Either adding points or ""undoing"" a 0 point choice"
s79,4,6,5,7,5,"To start at the top of the tree and work down. If one of the first branches wasn't selected and there was a node connected to it with a higher point value than the first node that the student selected, then I always started by selecting this branch to teach the student. From after the first level, it was a matter of selecting branches that maximized the points."
s80,3,5,5,3,3,Prioritize total score possible for student
s81,6,6,5,6,3,logic
s82,4,4,4,4,4,tried to maximize points
