subjID,P0_Q1,P0_Q2,P0_Q3,P0_Q4,P0_Q5,strategies
s0,5,4,5,5,1,Find the highest pair combinations
s1,5,7,7,6,2,"I first looked for the largest amount of points that could be gained by changing just one part of the student's path and then directed the student there. If there wasn't one change which was guarateed to increase points, I chose a path next to one of the largest sources of points."
s2,4,7,6,5,4,"chose options that limited students to fewer paths, i.e. edge rather than center"
s3,4,7,4,5,1,"If there was an option that guaranteed they could increase their points, I picked that. Otherwise, I tended to pick the highest path that could potentially increase their points."
s4,2,7,6,2,1,"I tried to pick the path that gave them an option to never pick 0 points, so I tried to lead them to paths where they had no idea of the values."
s5,4,7,5,5,2,connect the highest points possible
s7,5,6,7,5,4,"I tried to reveal a path that would be most likely to end up benefiting the student , that is, the path that gave them a higher chance of improving their score."
s8,3,7,6,3,1,Looked at the colours of the circles and quickly added highest score 
s9,2,7,5,2,1,Just trying to connect the 3 pointers with an effective path.
s10,6,5,5,6,4,Looking for the edge that led to the most points
s11,5,7,6,7,2,Increase either at the beginning or end of the line
s12,2,6,6,3,1,to get the most points for the student
s13,5,7,5,6,2,Without knowing what the other person could see it was always ambigious but thought that getting the person on the right track as soon as possible would be most helpful
s14,4,5,5,3,3,Higher number to reach higher total
s15,1,7,6,7,1,Mostly focusing on the +3s as they always gave the best points
s16,3,6,4,3,3,"Tending towards paths on the last rung, as it was more certain that they would know the paths that lead to the new chosen path"
s17,2,6,6,4,2,I went with what would seem to give the most points.
s18,4,6,6,4,1,search out the highest points.
s19,5,6,7,5,1,i tried to either add points right from the first point or show where more were down the line and try to lead them that way with that.
s20,5,4,5,5,4,Most points for student
s21,1,5,7,5,1,path of highest points
s22,3,6,7,3,2,Focus on which single changes should have the highest guaranteed return. 
s23,3,7,5,4,1,Most points!
s24,6,7,6,7,1,Choose a path that gave the most points
s25,7,5,5,7,2,I tried to highlight the most productive leg of the route
s26,1,7,6,3,1,
s27,3,6,6,3,2,I aimed to get the most points for the student
s28,5,7,7,6,2,"First look for the highest number that I could connect to, and if that didn't seem possible, go down to the next highest number."
s29,3,7,4,3,2,Seeing the path that would earn the most points based on the previous attempts. 
s30,2,7,7,2,1,I tried to give them a path which they would likely be able to see based on the path they already previously took.
s31,4,7,4,5,4,largest numbers
s32,5,7,6,6,3,"Try to find a more rewarding choice closest to the end of the path, the last choice if possible. "
s33,5,3,5,4,4,How to get the most points
s34,2,6,7,5,1,Selecting the highest value 
s35,2,6,7,3,2,I tried to connect the biggest numbers
s36,5,7,6,5,2,"I chose to reveal paths that were lower down most of the time, thinking that meant that there was more of a chance they'd be able to find their way to what I'd revealed to them with whatever paths they had available near the top."
s37,2,3,4,3,2,Always trying to maximize points on the path
s38,5,7,6,5,3,finding good path at the beginning
s39,1,7,6,3,2,The path that offers the most points.
s40,4,5,4,5,4,I Just tried to connect the two greatest numbers on the path
s41,3,7,6,4,1,Chose a path based on their original path that would lead to a 3+
s42,4,2,5,4,3,
s43,5,4,5,4,3,i followed the best path
s44,2,6,2,2,4,no strategy
s45,2,6,5,5,3,Look for the biggest number
s46,2,7,6,5,2,I tried to figure out the closest to the way they already went so they could get more points.
s47,5,7,6,6,2,Tried to select the dotted line that connected to 3
s48,5,2,6,5,6,Focus on the +3 circules
s49,4,7,7,4,1,"I had to assume that the student will only use my idea if it's immediately beneficial and I could not trust they will follow 'the best' route afterwards, so I looked to what will give the most points given ""they follow my route then pick the worst cases afterwards"""
s50,4,6,5,5,3,"In general, I looked at the 2nd to last spot and picked a path with a bigger number"
s51,5,7,6,4,2,I looked at what they chose and tried to pick one that might connect with what they know.
s52,2,6,6,7,2,finding the path to the highest number
s53,5,7,5,5,3,"Often, I would try to go along pathways that the student had already used with a slight optimizing tweak. Sometimes, I would try to take them down a new pathway if it seemed like any path from there to the end would yield great rewards. "
s54,1,6,6,7,5,finding the best path with more points
s55,3,6,6,5,3,I tried to think logically and quickly about what would lead someone to a plus 3 or higher score
s56,6,7,6,7,1,"I looked for the red 3 and checked to see which path would make the most points, then tried to find a line that would lead the student to go to that endpoint of where the three was."
s57,5,7,6,4,1,looked for the larger numbers and the paths from them
s58,3,6,5,5,5,"i tried to choose the path that would get the most points, especially the paths leading to the red 3+ points"
s59,3,4,6,4,2,Find the path with the most points.
s60,6,7,5,6,1,"I tried to go for paths that the point difference would be greater than 1, or where it would open up new paths potentially."
s61,5,6,7,6,1,I tried to connect the highest number of points given the paths available.
s62,6,5,6,6,5,"the biggest points and, when two paths had equal points, the path that led directly to a plus three, where possible"
s63,6,7,4,5,3,best way possible
s64,3,5,5,4,2,I showed them a path that opened up multiple better options for them to choose
s65,3,6,6,4,2,Reveal most info about high value nodes and try to improve the student path.
s66,6,7,6,5,2,TRYING TO GET THE STUDENT THE MOST POINTS
s67,6,6,2,5,6,I usually picked based on what was selected before because I knew the student knew the path.
s68,5,4,5,6,4,maximize student's points
s69,2,6,7,5,1,To select the closest 3+ points
s70,3,6,6,7,1,Pick the line that sums up to most points
s71,2,5,7,2,1,Whatever path gave the most points
s72,5,6,6,4,2,I tried to group the +3 points on a path
s73,2,4,4,3,1,Look at the final path the student took and worked from there
s74,4,5,5,4,3,I started at the top and picked the path with the most points total in the end.
s75,4,7,7,7,1,I used my math skills by quickly deciding in my mind which path added up the most points and I chose that path for the student.
s76,1,7,7,1,1,I tired to make sure the path that I suggested even if the rest were 0 the combined the value of that one thing would be greater than the path previously taken.
s77,4,7,7,7,1,I calculated what was the current amount of points and tried to chose a path that increased it significantly
s78,5,7,7,5,1,What should lead the student to more points
s79,2,6,6,2,1,simple addition
s80,2,5,5,5,5,I tried to collect as many points as possible for the student
s81,6,6,6,6,2,Addition
s82,2,7,7,6,3,I tried to maximize the possibility that the student increased by even one point.
s83,3,4,5,3,2,Give the student the path that would offer the most success from the beginning
s84,3,7,,3,2,most points
s85,2,6,5,2,1,Path for higher points 
s86,3,7,7,4,2,attempt to get the most points with only 1 change
s87,2,5,6,4,1,Mainly aiming for 3s on the screen
s88,1,7,7,7,1,whatever looked like it had the most available points from a point that was 1 or 0
s89,3,5,4,3,1,Finding a way to connect the two highest numbers together.
s90,3,6,6,5,2,Finding the highest value pairs and consider the possibilities of the advice (i.e. some paths only lead to 2 options while others lead to 3)
s91,7,4,3,6,7,Counting and assessing ideal//possible pathways
s92,4,6,6,6,1,get the more points possible
s93,5,6,6,2,4,I counted how many points the student currently had and made sure to choose a path that would gain them at least 1 more point than what they currently had.
s94,4,7,6,5,2,looked to see which path would provide most options to get higher points
s95,2,5,7,3,1,Most points possible
s96,2,4,3,3,2,"At first I decided to highlight the largest numbered path, but after a few, I decided to look further up to see if showing path before that number made more sense."
s97,1,7,7,2,1,the path that would give the highest amount of points
s98,4,6,6,5,2,I looked as much as possible for a way to make one move higher than the one they took
s99,4,6,5,6,4,I just looked for the biggest number and saw if the path before it was more or less than what was already achieved by the student. I feel like I might have messed up a bit as I am always kind of more frazzled when on a timer.
s100,5,3,5,4,2,bigger numbers!
s101,2,5,4,5,2,I tried to use evaluate which step the student went 'wrong' and pick the path that the student can change to get higher points
s102,5,6,6,5,2,I chose whatever edge would guarantee an increase in points for the student given the path the student had already taken prior. 
s103,3,6,6,3,1,Adding up the points
s105,6,7,6,7,6,"I would look for the red number worth ""3"""
s106,2,6,6,5,2,Choosing the highest numbers
s107,4,5,4,5,1,"at first I didn't have a clear strategy, but then I prioritized edges that I knew would increase the score (even if it was less than the max possible)"
s108,6,6,6,6,1,Try to maximize the points and the student can understand the suggested path
s109,5,4,4,6,5,The easiest to the most points
s110,5,5,3,6,2,to analyze the paths as fast as possible
s111,5,7,6,6,2,The one that yielded the most points for the student!
s112,3,6,5,3,2,"I just chose what path I thought would accumulate the maximum amount of points, even if the student didn't take the exact path I had in mind."
s113,2,5,4,2,1,I tried to pick the one that would give the student the clue to the most points.
s114,5,4,6,5,3,Connect the highest numbers
s115,1,7,5,6,1,try to choose the path with most points
s116,6,7,5,6,2,I Looked at it from the students point of view to determine what information was missing and based on that provided the information that would give the best solution.
s117,3,7,5,2,2,"Finding the paths the student did not seem to know of, which increased their score the most"
s118,5,3,4,5,5,I always chose a path that led to the greatest point value on the graph.
s119,4,3,6,4,1,The path that would lead to the highest points.
s120,5,3,6,5,4,make sure the next path would lead to increase in score
